Loan_ID,Applicant_Age,Applicant_Income,Loan_Amount,Credit_Score,Loan_Term,Interest_Rate,Loan_Approval,Default_Flag,Loan_Scoring_Model_Output,Debt_to_Income_Ratio,Non_Performing_Loan_Flag,Delinquency_Rate,Portfolio_Risk_Score,High_Risk_Borrower,Macroeconomic_Risk_Index,Approval_Rate_by_Demographics,Interest_Rate_Disparity,Loan_Denial_Reasons,Disparate_Impact_Ratio,Fair_Lending_Bias_Score,False_Positive_Rate,False_Negative_Rate,Regulatory_Compliance_Violation,Model_Drift_Approval_Patterns,Gender,Race
L0011,31,164633,199806,637,48,10.7,Denied,0,0.7,31.59,1,0.54,4.51,0,74.92,54.38,4.63,Other,0.86,0.24,0.17,0.15,0,8.26,Male,Other
L0012,44,56854,75467,462,60,7.32,Denied,0,1.0,29.45,0,0.16,10.95,1,14.59,68.23,2.19,Low Credit Score,0.59,0.98,0.18,0.2,0,1.01,Female,White
L0013,56,94505,188734,460,24,11.02,Approved,0,0.9,26.36,0,0.84,39.16,0,10.28,76.68,4.51,Unstable Income,1.44,0.8,0.05,0.19,0,2.4,Male,Black
L0014,60,134488,103506,697,48,6.76,Approved,0,0.58,40.88,0,0.85,12.44,0,57.09,76.07,4.39,Insufficient Collateral,1.05,0.96,0.15,0.13,0,1.42,Male,Asian
L0015,44,52662,114751,576,24,5.76,Approved,0,0.92,10.49,0,0.96,95.64,0,1.84,79.82,1.59,High DTI,0.81,0.49,0.09,0.08,0,3.48,Male,White
L0016,23,38392,386050,803,72,8.7,Approved,0,0.01,33.94,0,0.15,79.8,0,48.24,54.29,4.34,Low Credit Score,0.9,0.11,0.17,0.13,0,4.5,Male,White
L0017,42,60535,410904,691,36,11.16,Approved,0,0.98,32.62,0,0.62,25.9,1,21.03,79.35,1.88,Other,0.95,0.55,0.15,0.16,0,7.49,Male,Other
L0018,22,143569,292486,434,12,6.85,Approved,0,0.49,38.65,0,0.47,58.86,0,34.6,64.05,1.48,Low Credit Score,1.1,0.45,0.16,0.02,0,6.51,Male,White
L0019,44,82256,173229,494,36,14.21,Denied,0,0.72,33.96,0,0.34,98.23,0,77.58,67.96,3.25,Other,1.02,0.84,0.13,0.08,0,6.21,Female,White
L0020,64,119135,466079,700,48,2.99,Approved,0,0.82,43.07,0,0.35,88.42,0,94.12,88.61,1.64,Unstable Income,1.42,0.1,0.04,0.17,0,3.52,Male,White
L0021,50,157478,373452,332,24,7.72,Approved,0,0.72,48.36,0,0.41,60.08,0,7.24,50.41,3.15,Insufficient Collateral,1.0,0.49,0.11,0.08,0,8.41,Male,Other
L0022,58,65222,450299,759,24,14.59,Denied,0,0.54,23.7,0,0.7,90.37,0,53.42,76.48,3.05,Unstable Income,1.49,0.15,0.2,0.11,0,4.71,Female,Asian
L0023,22,107373,111081,769,60,9.35,Denied,0,0.48,19.09,0,0.6,98.92,0,88.25,76.94,2.82,High DTI,1.35,0.32,0.19,0.12,0,9.79,Female,Asian
L0024,41,153684,463949,674,24,7.79,Denied,0,0.84,26.94,0,0.46,74.34,1,8.25,67.85,1.9,Low Credit Score,0.71,0.74,0.01,0.04,0,6.34,Female,White
L0025,53,40965,94045,321,60,9.61,Approved,0,0.21,21.52,0,0.08,6.5,0,82.45,60.67,2.74,Other,1.43,0.48,0.03,0.07,0,1.26,Male,Other
L0026,32,54538,39698,337,72,9.7,Approved,0,0.97,34.6,1,0.08,40.16,0,35.78,60.56,2.98,Other,0.62,0.38,0.03,0.07,0,6.76,Female,Asian
L0027,42,138066,115078,529,12,11.65,Approved,0,0.71,46.47,0,0.0,83.78,0,32.21,89.77,2.73,Low Credit Score,1.32,0.39,0.15,0.01,0,3.25,Male,Asian
L0028,64,143252,347767,664,48,4.1,Approved,0,0.2,15.56,0,0.97,23.06,0,97.75,69.89,2.22,Low Credit Score,0.88,0.46,0.16,0.0,0,6.86,Male,Asian
L0029,45,169182,27671,737,60,5.63,Approved,0,0.74,14.03,1,0.01,83.06,0,20.09,64.89,0.07,High DTI,1.38,0.79,0.04,0.17,0,0.7,Male,Other
L0030,69,188338,423400,582,12,9.76,Approved,0,0.53,20.24,1,0.1,12.03,0,69.32,70.19,2.94,Unstable Income,1.37,0.89,0.1,0.05,0,1.75,Female,Other
L0031,47,128806,360528,326,24,13.34,Approved,1,0.71,39.04,0,0.31,4.69,1,82.14,80.12,0.84,Other,1.31,0.96,0.17,0.1,0,8.56,Female,White
L0032,62,167982,440323,525,24,9.52,Approved,0,0.77,33.72,0,0.81,38.41,1,4.12,56.56,3.21,High DTI,1.29,0.79,0.15,0.06,0,2.27,Female,Hispanic
L0033,48,140989,91202,576,12,5.48,Approved,1,0.09,14.09,0,0.96,3.67,0,67.04,70.22,3.8,Unstable Income,0.8,0.32,0.11,0.19,0,8.37,Female,Asian
L0034,36,120982,56663,583,24,11.0,Approved,0,0.51,46.75,0,0.79,95.73,0,95.15,76.45,2.5,High DTI,0.58,0.69,0.12,0.05,0,2.79,Female,Hispanic
L0035,35,151626,20708,780,72,11.75,Approved,0,0.93,41.6,0,0.69,82.62,0,12.42,92.69,2.71,Other,0.9,0.44,0.1,0.09,0,6.43,Male,Other
L0036,67,149176,359050,752,72,5.48,Approved,0,0.32,10.92,0,0.52,80.08,0,89.62,61.36,4.76,Low Credit Score,0.67,0.25,0.06,0.17,1,6.94,Male,Other
L0037,64,161278,316955,815,12,7.22,Approved,0,0.59,36.05,0,0.09,62.98,0,59.48,66.17,4.24,Low Credit Score,1.19,0.84,0.11,0.17,0,5.13,Male,Other
L0038,23,152409,138883,846,60,9.18,Approved,0,0.37,40.85,0,0.96,21.63,0,61.66,67.07,4.57,Unstable Income,0.85,0.04,0.14,0.04,0,3.05,Male,Hispanic
L0039,57,53419,323394,491,60,8.71,Approved,0,0.45,24.98,0,0.76,51.83,1,61.29,77.25,4.07,Insufficient Collateral,1.48,0.9,0.17,0.16,0,2.13,Female,Other
L0040,27,80015,117547,348,12,7.37,Approved,0,0.55,12.76,0,0.64,59.73,0,29.88,66.05,0.54,Unstable Income,1.14,0.46,0.13,0.09,0,0.33,Female,White
L0041,41,152096,470298,811,60,6.22,Approved,0,0.55,13.09,0,0.76,52.5,1,93.52,74.01,0.74,Insufficient Collateral,1.32,0.64,0.15,0.1,0,3.04,Male,Other
L0042,29,137059,391393,316,60,3.75,Approved,0,0.2,14.17,1,0.72,26.02,0,94.74,85.18,2.63,High DTI,0.63,0.66,0.03,0.03,0,6.53,Female,Black
L0043,59,140687,39754,471,72,3.17,Approved,1,0.68,43.62,0,0.64,51.52,0,62.53,81.74,1.23,High DTI,1.36,0.9,0.09,0.02,0,9.38,Female,Hispanic
L0044,38,117939,231814,519,60,14.48,Denied,0,0.09,46.43,0,0.98,49.12,0,78.34,70.09,2.38,Other,1.42,0.64,0.0,0.15,0,8.71,Male,Black
L0045,24,179213,242714,457,36,13.09,Approved,0,0.14,14.91,0,0.9,99.63,0,61.23,88.89,1.97,Insufficient Collateral,0.99,0.61,0.05,0.1,0,7.66,Male,Other
L0046,45,135878,147483,776,48,6.94,Approved,0,0.0,19.44,0,0.65,89.74,1,48.44,75.12,2.75,Other,1.11,0.07,0.15,0.09,0,7.88,Female,White
L0047,34,194899,138983,345,24,14.46,Denied,0,0.12,16.62,0,0.69,46.34,0,66.08,74.3,3.73,Low Credit Score,1.26,0.52,0.2,0.15,0,6.65,Female,Asian
L0048,29,92623,465486,672,36,10.96,Approved,0,0.47,17.45,0,0.05,62.29,1,55.3,51.54,3.58,Insufficient Collateral,0.67,0.15,0.02,0.15,0,2.6,Male,Other
L0049,46,105450,219835,817,60,8.53,Denied,0,0.61,43.5,0,0.67,74.79,0,59.75,94.4,2.61,Unstable Income,1.0,0.74,0.08,0.03,1,9.07,Male,White
L0050,22,123426,406896,398,72,8.66,Approved,0,0.79,23.29,0,0.04,3.49,1,78.38,55.53,4.11,Low Credit Score,0.9,0.51,0.16,0.12,0,6.71,Male,Hispanic
L0051,40,147845,89896,336,12,3.54,Approved,0,0.11,22.46,0,0.59,89.49,0,48.09,60.4,2.15,Low Credit Score,0.65,0.68,0.04,0.03,0,5.6,Female,Black
L0052,48,183371,482095,579,60,3.65,Approved,0,0.85,19.1,0,1.0,86.01,1,4.08,52.33,4.48,Unstable Income,0.87,0.04,0.11,0.15,0,1.11,Male,Black
L0053,67,73585,76295,648,72,10.03,Denied,0,0.75,34.32,0,0.56,45.74,0,16.4,78.8,0.36,Low Credit Score,0.57,0.08,0.15,0.13,0,4.47,Male,Black
L0054,27,139225,224686,796,48,9.42,Approved,1,0.41,25.17,1,0.47,39.12,0,43.86,60.11,4.77,Insufficient Collateral,0.53,0.72,0.12,0.19,0,4.6,Female,Hispanic
L0055,64,94044,367833,601,60,5.16,Denied,0,0.93,39.77,0,0.31,27.3,0,72.48,58.1,3.27,Other,0.64,0.07,0.04,0.01,0,8.65,Female,White
L0056,28,139556,278255,480,12,14.33,Approved,0,0.99,18.22,0,0.12,47.67,1,59.33,53.99,1.9,Low Credit Score,1.46,0.07,0.07,0.01,0,5.47,Female,Hispanic
L0057,67,32693,304648,398,72,12.27,Denied,1,0.21,41.51,0,0.73,4.44,1,65.03,54.65,0.99,Insufficient Collateral,1.05,0.01,0.16,0.06,0,3.8,Female,Black
L0058,55,125259,137874,415,72,3.92,Approved,0,0.38,34.15,1,0.19,85.22,0,47.93,76.31,2.4,High DTI,1.47,0.96,0.11,0.05,0,9.77,Female,Other
L0059,34,55939,13155,490,72,14.14,Denied,1,0.93,14.57,0,0.12,3.54,0,61.57,80.97,0.97,Insufficient Collateral,0.93,0.74,0.0,0.05,0,1.11,Male,Asian
L0060,37,182906,471872,552,48,14.68,Approved,0,0.72,26.58,0,0.42,32.91,1,32.9,67.88,0.83,Other,0.81,0.35,0.15,0.18,0,4.23,Male,Hispanic
L0061,56,48047,306528,460,60,14.95,Approved,0,0.05,44.54,0,0.8,93.16,1,47.02,71.6,3.09,Insufficient Collateral,1.01,0.3,0.01,0.05,0,0.42,Female,Hispanic
L0062,60,56105,379705,555,48,3.2,Approved,0,0.78,46.92,0,0.75,73.52,1,74.43,80.87,2.62,Unstable Income,0.94,0.35,0.15,0.05,0,7.4,Female,White
L0063,24,105766,52254,622,24,11.71,Approved,0,0.83,28.63,0,0.05,28.14,0,87.18,50.78,3.35,Other,0.61,0.77,0.04,0.15,0,9.18,Female,White
L0064,22,176779,289062,427,24,9.32,Approved,0,0.75,29.23,0,0.46,25.26,0,43.37,64.54,4.65,High DTI,1.14,0.66,0.19,0.09,0,2.8,Female,Hispanic
L0065,26,183048,90981,317,60,11.32,Approved,0,0.8,46.74,0,0.52,0.51,0,4.37,93.79,2.66,Unstable Income,0.72,0.19,0.07,0.16,0,8.58,Female,Black
L0066,62,74262,458929,622,48,14.61,Approved,0,0.83,33.48,0,0.64,69.57,0,16.17,76.11,2.9,Insufficient Collateral,1.12,0.17,0.07,0.01,0,2.92,Male,Asian
L0067,24,155117,35306,587,12,11.1,Approved,0,0.19,11.31,0,0.65,4.88,0,2.09,61.44,0.45,Other,1.15,0.1,0.03,0.1,1,9.11,Male,White
L0068,49,53776,152718,454,72,12.96,Denied,0,0.24,46.51,0,0.36,53.26,0,65.33,73.48,3.59,High DTI,0.65,0.66,0.06,0.01,0,7.54,Male,Black
L0069,38,191152,313987,789,72,13.34,Denied,0,0.63,19.93,0,0.56,96.21,0,33.23,65.42,2.0,Unstable Income,0.56,0.76,0.18,0.01,0,8.05,Male,Other
L0070,46,158376,125975,685,60,12.98,Approved,0,0.91,33.11,1,0.48,10.95,1,54.25,73.95,4.88,High DTI,1.28,0.27,0.2,0.18,0,0.18,Female,White
L0071,64,167848,363745,403,24,7.83,Denied,1,0.32,16.62,0,0.88,89.45,0,49.33,55.66,4.12,Insufficient Collateral,0.96,0.02,0.07,0.03,0,9.63,Male,Black
L0072,54,122787,488951,692,24,5.28,Denied,0,0.59,11.36,0,0.53,99.15,0,8.15,55.97,2.61,High DTI,0.56,0.08,0.09,0.11,0,7.27,Female,Black
L0073,30,157948,112512,545,72,7.46,Approved,0,0.68,22.46,0,0.44,6.15,0,40.33,56.46,0.62,Low Credit Score,1.49,0.97,0.14,0.08,0,3.05,Female,Asian
L0074,56,85016,152443,475,60,13.65,Approved,0,0.45,41.22,0,0.4,88.29,0,22.06,92.29,4.3,Unstable Income,0.56,0.3,0.18,0.07,0,8.29,Female,Asian
L0075,34,170546,475587,338,48,4.33,Approved,0,0.71,21.1,0,0.57,51.61,0,41.84,82.98,4.0,High DTI,1.2,0.77,0.12,0.18,0,2.82,Male,Other
L0076,51,51959,378616,776,24,8.92,Approved,0,0.9,18.8,0,0.8,90.65,0,20.36,57.31,0.92,Insufficient Collateral,1.48,0.62,0.08,0.0,0,8.73,Female,Black
L0077,68,166602,138121,837,48,5.42,Approved,0,0.62,18.51,0,0.54,57.13,0,84.05,58.48,1.48,Insufficient Collateral,0.74,0.38,0.08,0.13,0,1.13,Male,Black
L0078,35,149101,167688,707,24,9.77,Approved,0,0.54,30.61,0,0.66,66.21,0,17.42,82.89,3.97,High DTI,0.64,0.21,0.14,0.19,0,7.04,Male,Asian
L0079,28,33748,370871,824,24,13.29,Denied,0,0.44,49.02,0,0.74,54.38,0,96.08,57.03,0.93,Insufficient Collateral,0.62,0.12,0.0,0.11,0,5.41,Female,White
L0080,34,43545,380037,805,36,13.5,Denied,0,0.58,28.36,0,0.52,86.45,0,41.59,60.56,4.59,Other,0.8,0.62,0.12,0.19,1,0.97,Female,White
L0081,43,157659,288076,335,24,5.46,Approved,0,0.36,32.29,0,0.43,73.39,0,84.62,93.35,2.12,Other,0.6,0.77,0.07,0.01,0,2.42,Female,Hispanic
L0082,60,195838,122796,319,12,13.85,Approved,0,0.39,44.43,0,0.88,52.13,0,62.88,61.49,0.44,Other,1.19,0.64,0.16,0.08,1,0.12,Male,Asian
L0083,41,103530,296999,620,60,9.9,Approved,0,0.53,31.4,0,0.42,86.82,0,73.54,79.77,4.08,Low Credit Score,0.56,0.53,0.02,0.05,0,4.69,Female,Hispanic
L0084,36,123557,197506,811,60,6.88,Approved,0,0.07,17.38,0,0.46,24.53,1,76.77,94.04,1.87,High DTI,1.01,0.04,0.12,0.15,0,3.01,Male,Asian
L0085,65,91087,470910,699,48,11.35,Approved,0,0.23,21.98,0,0.99,15.73,1,50.48,66.84,2.63,Low Credit Score,1.5,0.97,0.1,0.2,0,5.98,Female,Other
L0086,38,98840,179088,770,24,8.52,Denied,0,0.54,22.4,0,0.0,16.04,0,54.33,50.79,0.56,Insufficient Collateral,1.31,0.8,0.13,0.05,0,2.97,Female,Black
L0087,67,148451,274544,442,12,7.22,Approved,0,0.43,25.89,0,0.19,33.4,0,51.4,60.99,0.01,Low Credit Score,1.12,0.29,0.01,0.13,0,3.0,Male,Other
L0088,44,81005,385002,391,48,11.31,Denied,0,0.33,27.07,0,0.38,23.87,0,58.81,87.39,3.19,Insufficient Collateral,0.81,0.98,0.12,0.04,0,7.43,Male,Asian
L0089,46,69353,178714,653,36,5.61,Denied,0,0.73,41.99,0,0.93,93.01,0,2.94,88.91,2.58,Insufficient Collateral,1.12,0.6,0.11,0.11,0,0.48,Male,Black
L0090,45,82733,20151,350,48,6.63,Approved,0,0.69,23.98,0,0.07,10.58,0,39.55,84.58,2.97,Unstable Income,1.03,0.58,0.11,0.09,0,9.03,Male,White
L0091,65,95318,449623,489,48,7.93,Denied,0,0.17,28.73,0,0.01,69.9,0,60.62,55.09,3.97,Other,0.93,0.75,0.12,0.19,0,8.52,Male,White
L0092,61,184736,71690,424,24,5.67,Approved,0,0.88,35.0,0,0.05,18.92,0,59.77,85.8,3.23,Insufficient Collateral,0.63,0.81,0.14,0.12,0,6.68,Male,Hispanic
L0093,49,97172,9499,449,36,7.57,Approved,0,0.5,25.11,0,0.09,88.16,0,79.3,91.34,0.87,Unstable Income,1.39,0.66,0.16,0.07,0,5.93,Female,Asian
L0094,35,123264,11295,613,48,9.64,Approved,1,0.74,43.46,0,0.04,96.13,0,65.5,77.03,1.8,Other,0.95,0.13,0.05,0.02,0,8.92,Female,Asian
L0095,65,56736,388029,641,12,11.76,Denied,0,0.57,33.5,1,0.48,46.55,0,99.21,92.34,4.53,Insufficient Collateral,0.69,0.34,0.17,0.03,0,1.85,Male,White
L0096,21,142859,393215,604,12,12.09,Approved,0,1.0,21.76,0,0.58,87.91,0,28.39,87.21,3.85,Insufficient Collateral,0.87,0.93,0.1,0.05,0,0.79,Female,Other
L0097,45,142181,326184,353,60,12.78,Denied,0,0.75,38.56,0,0.27,0.51,0,35.92,80.01,2.78,Low Credit Score,0.91,0.22,0.02,0.05,0,2.4,Male,Black
L0098,27,161926,279327,743,36,11.8,Denied,0,0.71,31.11,0,0.4,81.99,0,38.38,75.97,1.28,Low Credit Score,1.33,0.37,0.01,0.17,0,7.95,Female,Other
L0099,29,120084,427515,563,36,11.01,Approved,1,0.78,31.38,0,0.09,22.86,1,46.58,65.69,1.51,Other,1.23,0.43,0.07,0.11,0,0.35,Female,Other
L0100,44,199695,148946,352,60,5.47,Denied,0,0.14,29.24,0,0.34,90.87,0,83.6,57.17,3.66,Insufficient Collateral,1.27,0.44,0.16,0.1,0,5.83,Male,White
